EXP,WKS,OCC,IND,SOUTH,SMSA,MS,FEM,UNION,ED,BLK,LWAGE,T
31,49,1,1,1,0,1,0,1,4,0,6.21461,4
32,48,1,0,1,0,1,0,1,4,0,6.32436,5
33,45,1,0,1,0,1,0,1,4,0,6.44254,6
34,42,1,1,1,0,1,0,1,4,0,6.44254,7
20,46,0,0,0,0,1,0,0,14,0,6.59987,1
21,45,0,0,0,0,1,0,0,14,0,6.59987,2
22,44,0,0,0,0,1,0,0,14,0,6.68461,3
23,46,0,0,0,0,1,0,0,14,0,6.72743,4
24,47,0,0,0,0,1,0,0,14,0,6.88244,5
25,51,0,1,0,0,1,0,0,14,0,6.95655,6
26,47,0,0,0,0,1,0,0,14,0,7.04752,7
11,50,0,0,0,1,1,0,0,16,0,6.90575,1
12,50,0,0,0,1,1,0,0,16,0,6.90575,2
13,51,0,0,0,1,1,0,0,16,0,7.49554,3
14,50,0,0,0,1,1,0,0,16,0,7.66153,4
15,48,0,0,0,1,1,0,0,16,0,7.86327,5
16,47,0,0,0,1,1,0,0,16,0,8.03916,6
17,50,0,0,0,1,1,0,0,16,0,7.89357,7
5,30,0,0,0,0,0,1,0,12,0,5.43808,1
6,51,0,0,0,0,0,1,0,12,0,5.52146,2
7,51,1,0,0,0,0,1,0,12,0,5.57973,3
8,52,1,0,0,0,0,1,0,12,0,5.66988,4
9,49,1,0,0,0,0,1,0,12,0,5.73657,5
10,51,1,0,0,0,0,1,1,12,0,5.84354,6
11,50,1,0,0,0,0,1,0,12,0,5.85793,7
8,37,0,0,0,1,1,0,1,17,0,6.52942,1
9,39,0,0,0,1,1,0,1,17,0,6.57925,2
10,40,0,0,0,1,1,0,1,17,0,6.71538,3
11,38,0,0,0,1,1,0,1,17,0,6.68461,4
12,38,0,0,0,1,1,0,1,17,0,6.79122,5
13,39,0,0,0,1,1,0,1,17,0,6.97541,6
14,41,0,0,0,1,1,0,1,17,0,6.90776,7
14,48,0,1,1,1,1,0,0,15,0,6.47697,1
15,47,1,1,1,1,1,0,0,15,0,6.55108,2
16,49,0,1,1,1,1,0,0,15,0,6.86693,3
17,48,0,1,1,1,1,0,0,15,0,6.85646,4
18,47,0,1,1,1,1,0,0,15,0,7.27932,5
19,47,0,1,1,1,1,0,0,15,0,7.54961,6
20,48,0,1,1,1,1,0,0,15,0,7.36708,7
8,50,0,0,0,1,0,0,0,16,0,6.01616,1
9,52,0,0,0,1,0,0,0,16,0,6.90575,2
10,48,0,0,0,0,0,0,0,16,0,7.04752,3
11,50,0,0,0,0,0,0,0,16,0,7.26193,4
12,50,0,0,0,0,0,0,0,16,0,7.09008,5
13,45,0,0,0,0,0,0,0,16,0,6.96319,6
14,23,0,0,0,0,0,0,0,16,0,7.31322,7
26,50,1,0,0,1,1,0,0,12,0,6.7334,1
27,50,1,0,0,1,1,0,0,12,0,6.69703,2
28,50,1,0,0,1,1,0,0,12,0,6.68461,3
29,50,1,0,0,1,1,0,0,12,0,6.74524,4
30,50,1,0,0,1,1,0,0,12,0,6.73102,5
31,49,1,0,0,1,1,0,0,12,0,6.80239,6
32,49,1,0,0,1,1,0,0,12,0,6.74524,7
31,49,0,0,0,1,1,0,0,14,0,6.90575,1
32,49,0,0,0,1,1,0,0,14,0,6.90575,2
33,49,0,0,0,1,1,0,0,14,0,7.06219,3
34,49,0,0,0,1,1,0,0,14,0,7.57558,4
35,50,0,0,0,1,1,0,0,14,0,7.67322,5
36,49,0,0,0,1,1,0,0,14,0,7.47307,6
37,49,0,0,0,1,1,0,0,14,0,7.56008,7
17,47,0,0,1,1,0,1,0,12,0,6.19644,1
18,47,0,0,1,1,0,1,0,12,0,6.29895,2
19,48,0,0,1,1,0,1,0,12,0,6.3315,3
20,49,0,0,1,1,0,1,0,12,0,6.36303,4
21,49,0,0,1,1,0,1,0,12,0,6.48158,5
22,45,0,0,1,1,0,1,0,12,0,6.57786,6
23,49,0,0,1,1,0,1,0,12,0,6.64379,7
22,48,0,1,0,1,1,0,0,17,0,6.90575,1
23,48,0,1,0,1,1,0,0,17,0,6.90575,2
24,48,0,1,0,1,1,0,0,17,0,7.31322,3
25,47,0,1,0,1,1,0,0,17,0,7.24423,4
26,43,0,1,0,1,1,0,0,17,0,7.48437,5
27,47,0,0,0,1,1,0,0,17,0,7.54961,6
28,45,0,1,0,1,1,0,0,17,0,7.61332,7
30,50,0,1,0,1,1,0,0,16,0,6.90575,1
31,49,0,1,0,1,1,0,0,16,0,6.90575,2
32,49,0,1,0,1,1,0,0,16,0,7.46737,3
33,48,0,1,0,1,1,0,0,16,0,7.40853,4
34,49,0,1,0,1,1,0,0,16,0,7.60589,5
35,47,0,1,0,1,1,0,0,16,0,8.04879,6
36,47,0,1,0,1,1,0,0,16,0,7.74066,7
14,51,0,0,0,1,1,0,0,16,0,6.90575,1
15,47,0,0,0,1,1,0,0,16,0,6.90575,2
16,51,0,0,0,1,1,0,0,16,0,7.17012,3
17,47,0,0,0,1,1,0,0,16,0,7.27932,4
18,48,0,0,0,1,1,0,0,16,0,7.24065,5
19,50,0,0,0,1,1,0,0,16,0,7.37776,6
20,49,0,0,0,1,1,0,0,16,0,7.46737,7
45,48,1,0,1,0,1,0,0,8,0,5.7589,1
46,48,1,0,1,0,1,0,0,8,0,5.86079,2
47,48,1,0,1,0,1,0,0,8,0,5.82305,3
48,49,1,0,1,0,1,0,0,8,0,5.94803,4
49,50,1,0,1,0,1,0,0,8,0,6.24804,5
50,48,1,0,1,0,1,0,0,8,0,6.20658,6
51,46,1,0,1,0,1,0,0,8,0,5.98394,7
8,30,1,0,0,1,1,0,1,13,1,6.51471,1
9,49,1,1,0,1,1,0,1,13,1,6.6107,2
10,48,1,1,0,1,1,0,1,13,1,6.39693,3
11,49,1,1,0,1,1,0,1,13,1,6.75227,4
12,34,1,1,0,1,1,0,1,13,1,6.88653,5
13,48,1,1,0,1,1,0,1,13,1,7.01212,6
14,45,1,1,0,1,1,0,1,13,1,7.02554,7
15,52,1,0,1,1,1,0,0,10,0,6.62007,1
16,47,0,0,1,1,1,0,0,10,0,6.77422,2
17,50,0,0,1,0,1,0,0,10,0,7.1309,3
18,50,0,0,1,0,1,0,0,10,0,7.08841,4
19,48,0,0,1,1,1,0,0,10,0,7.1309,5
20,50,0,0,1,1,1,0,0,10,0,6.90776,6
21,41,0,0,1,1,1,0,0,10,0,7.18007,7
12,52,0,0,0,1,1,0,0,14,0,6.90575,1
13,47,0,0,0,1,1,0,0,14,0,6.7417,2
14,50,0,0,0,1,1,0,0,14,0,7.00307,3
15,49,0,0,0,1,1,0,0,14,0,7.1309,4
16,50,0,0,0,1,1,0,0,14,0,7.14283,5
17,48,0,0,0,1,1,0,0,14,0,7.28276,6
18,49,0,0,0,1,0,0,0,14,0,7.40914,7
10,48,1,1,0,0,1,0,1,12,0,6.05209,1
11,49,1,1,0,0,1,0,1,12,0,6.05209,2
12,48,1,1,0,0,1,0,1,12,0,6.05209,3
13,48,1,1,0,0,1,0,1,12,0,6.36819,4
14,49,1,1,0,0,1,0,1,12,0,6.43615,5
15,48,0,1,0,0,1,0,1,12,0,6.54965,6
16,49,1,1,0,0,1,0,1,12,0,6.52209,7
6,47,0,0,0,1,1,0,0,13,0,6.47697,1
7,51,0,0,0,1,0,0,0,13,0,6.58617,2
8,48,0,0,0,1,0,0,0,13,0,6.47697,3
9,50,0,0,0,1,0,0,0,13,0,6.52942,4
10,50,0,0,0,1,0,0,0,13,0,6.80239,5
11,52,0,0,0,1,0,0,0,13,0,6.77992,6
12,51,0,0,0,1,1,0,0,13,0,6.80793,7
30,47,0,0,1,0,1,0,1,8,0,6.35784,1
31,39,0,0,1,0,1,0,1,8,0,6.49979,2
32,32,0,0,1,0,1,0,1,8,0,6.58203,3
33,35,0,0,1,0,1,0,1,8,0,6.69456,4
34,47,0,0,1,0,1,0,1,8,0,6.78784,5
35,45,0,0,1,0,1,0,1,8,0,6.90776,6
36,47,0,0,1,0,1,0,1,8,0,7.35819,7
20,50,0,0,1,1,1,0,0,16,0,6.90575,1
21,50,0,0,1,1,1,0,0,16,0,6.90575,2
22,50,0,0,1,1,1,0,0,16,0,7.37776,3
23,50,0,0,1,1,1,0,0,16,0,7.49109,4
24,50,0,0,1,1,1,0,0,16,0,7.57558,5
25,48,0,0,1,1,1,0,0,16,0,7.52833,6
26,47,0,0,1,1,1,0,0,16,0,7.745,7
30,38,1,1,0,1,0,1,1,12,1,6.2186,1
31,41,1,0,0,1,0,1,1,12,1,6.49375,2
32,51,1,0,0,1,0,1,1,12,1,6.58064,3
33,50,1,1,0,1,0,1,1,12,1,6.6896,4
34,42,1,1,0,1,0,1,1,12,1,6.79347,5
35,50,1,1,0,1,0,1,1,12,1,6.92461,6
36,49,1,1,0,1,0,1,1,12,1,7.02554,7
5,49,0,0,0,1,1,0,0,16,0,6.68461,1
6,47,0,0,0,1,1,0,0,16,0,6.84375,2
7,48,0,0,0,1,1,0,0,16,0,6.90776,3
8,49,0,0,0,1,1,0,0,16,0,7.00307,4
9,46,0,0,0,1,1,0,0,16,0,7.1309,5
10,45,0,0,0,1,1,0,0,16,0,7.40853,6
11,49,0,0,0,1,1,0,0,16,0,7.43838,7
7,48,0,1,0,1,1,0,0,17,0,6.90575,1
8,48,0,1,0,1,1,0,0,17,0,6.90575,2
9,48,0,1,0,1,1,0,0,17,0,7.20786,3
10,47,0,1,0,1,1,0,0,17,0,7.31322,4
11,46,0,1,0,1,1,0,0,17,0,7.43838,5
12,46,0,1,0,1,1,0,0,17,0,7.49332,6
13,46,0,1,0,1,1,0,0,17,0,7.6009,7
13,49,0,0,0,1,0,1,0,13,0,6.22456,1
14,50,0,0,0,1,0,1,0,13,0,6.33328,2
15,50,0,0,0,1,0,1,0,13,0,6.30992,3
16,50,0,0,0,1,0,1,0,13,0,6.47697,4
17,50,0,0,0,1,0,1,0,13,0,6.63332,5
18,50,0,0,0,1,0,1,0,13,0,6.68211,6
19,49,0,0,0,1,0,1,0,13,0,6.65286,7
6,42,1,0,0,0,1,0,1,12,0,6.12687,1
7,44,1,0,0,0,1,0,1,12,0,6.23245,2
8,48,1,0,0,0,1,0,1,12,0,6.32615,3
9,47,1,0,0,0,1,0,1,12,0,6.32436,4
10,48,1,0,0,0,1,0,1,12,0,6.4677,5
11,47,0,0,0,0,1,0,1,12,0,6.60665,6
12,47,1,0,0,0,1,0,1,12,0,6.55108,7
26,48,0,0,0,1,1,0,0,14,0,6.90575,1
27,49,0,0,0,1,1,0,0,14,0,6.90575,2
28,48,0,0,0,1,1,0,0,14,0,7.04752,3
29,48,0,0,0,1,1,0,0,14,0,7.09008,4
30,48,0,0,0,1,1,0,0,14,0,7.20786,5
31,47,0,0,0,1,1,0,0,14,0,7.11802,6
32,48,0,0,0,1,1,0,0,14,0,7.09008,7
26,50,0,1,0,1,0,0,0,16,0,6.90575,1
27,50,0,1,0,1,0,0,0,16,0,6.90575,2
28,50,0,1,0,1,0,0,0,16,0,7.1309,3
29,50,0,1,0,1,0,0,0,16,0,7.22621,4
30,48,0,1,0,1,1,0,0,16,0,7.1309,5
31,41,0,1,0,1,1,0,0,16,0,7.31322,6
32,49,0,1,0,1,0,0,0,16,0,7.43838,7
31,47,0,1,0,0,1,0,0,16,0,6.90575,1
32,46,0,1,0,0,1,0,0,16,0,6.90575,2
33,47,0,1,0,0,1,0,0,16,0,7.6009,3
34,48,0,1,0,0,1,0,0,16,0,7.67601,4
35,47,0,1,0,0,1,0,0,16,0,7.7021,5
36,49,0,1,0,0,1,0,0,16,0,7.69621,6
37,48,0,1,0,0,1,0,0,16,0,7.82084,7
31,50,0,0,0,1,0,1,1,12,0,6.27099,1
32,45,0,0,0,1,0,1,1,12,0,6.39859,2
33,43,0,0,0,1,0,1,1,12,0,6.48311,3
34,48,0,0,0,1,0,1,1,12,0,6.55678,4
35,46,0,0,0,1,0,1,1,12,0,6.65544,5
36,32,0,0,0,1,0,1,1,12,0,6.74876,6
37,28,0,0,0,1,0,1,1,12,0,6.84907,7
31,45,0,1,0,1,1,0,0,17,0,6.90575,1
32,48,0,1,0,1,1,0,0,17,0,6.90575,2
33,48,0,1,0,1,1,0,0,17,0,7.6009,3
34,47,0,0,0,1,1,0,0,17,0,7.64969,4
35,48,0,1,0,1,1,0,0,17,0,7.82405,5
36,47,0,1,0,1,1,0,0,17,0,7.86327,6
37,44,0,1,0,1,1,0,0,17,0,7.91936,7
25,46,0,0,0,1,1,0,0,16,0,6.90575,1
26,49,0,0,0,1,1,0,0,16,0,6.90575,2
27,49,0,0,0,1,1,0,0,16,0,7.24423,3
28,48,0,0,0,1,1,0,0,16,0,7.1309,4
29,48,0,0,0,1,1,0,0,16,0,7.46737,5
30,48,0,0,0,1,1,0,0,16,0,7.6009,6
31,49,0,0,0,1,1,0,1,16,0,7.64969,7
13,47,0,0,1,0,1,0,0,13,0,6.43615,1
14,49,0,0,1,0,1,0,0,13,0,6.90575,2
15,48,1,0,0,0,1,0,0,13,0,6.95655,3
16,49,1,0,0,0,1,0,0,13,0,6.95655,4
17,48,0,0,0,0,1,0,0,13,0,7.06048,5
18,47,1,0,0,0,1,0,0,13,0,7.20786,6
19,48,0,0,0,0,1,0,0,13,0,7.20786,7
13,47,1,1,0,0,1,0,1,11,0,6.51175,1
14,52,1,1,0,0,1,0,1,11,0,6.5903,2
15,51,1,1,0,0,1,0,1,11,0,6.68461,3
16,51,1,1,0,0,1,0,1,11,0,6.74524,4
17,49,1,1,0,0,1,0,1,11,0,6.8977,5
18,49,1,1,0,0,1,0,1,11,0,7.0775,6
19,50,1,1,0,0,1,0,1,11,0,7.10003,7
32,49,1,1,0,1,1,0,1,8,0,6.65415,1
33,49,1,1,0,1,1,0,1,8,0,6.85013,2
34,49,1,1,0,1,1,0,1,8,0,6.85646,3
35,47,1,1,0,1,1,0,1,8,0,6.92363,4
36,48,1,1,0,1,1,0,1,8,0,7.04141,5
37,47,1,1,0,1,1,0,1,8,0,7.1333,6
38,46,1,1,0,1,1,0,1,8,0,7.20786,7
23,51,1,1,1,0,1,0,0,12,0,6.10925,1
24,49,1,1,1,0,1,0,0,12,0,6.16331,2
25,52,1,1,1,0,1,0,0,12,0,6.33328,3
26,52,1,1,1,0,1,0,0,12,0,6.33328,4
27,48,1,1,1,0,1,0,0,12,0,6.43775,5
28,50,1,1,1,0,1,0,0,12,0,6.58617,6
29,50,1,1,1,0,1,0,0,12,0,6.53379,7
21,47,1,0,1,1,1,0,0,11,0,6.04025,1
22,49,1,0,1,1,1,0,0,11,0,6.28972,2
23,49,1,0,1,1,1,0,0,11,0,6.01616,3
24,49,0,0,1,1,1,0,0,11,0,6.57786,4
25,47,0,0,1,1,1,0,0,11,0,6.55108,5
26,48,0,0,1,1,1,0,0,11,0,6.53233,6
27,48,0,0,1,1,1,0,0,11,0,6.31355,7
37,49,1,1,0,1,1,0,1,14,0,6.55108,1
38,48,1,1,0,1,1,0,1,14,0,6.68461,2
39,40,1,1,0,1,1,0,1,14,0,6.69703,3
40,48,1,1,0,1,1,0,0,14,0,6.90776,4
41,48,1,1,0,1,1,0,1,14,0,7.00307,5
42,48,1,1,0,1,1,0,1,14,0,7.1624,6
43,48,1,1,0,1,1,0,0,14,0,7.1309,7
26,48,0,1,0,1,1,0,0,17,0,6.90575,1
27,49,0,1,0,1,1,0,0,17,0,6.90575,2
28,48,0,1,0,1,1,0,0,17,0,7.34601,3
29,47,0,1,0,1,1,0,0,17,0,7.43838,4
30,46,0,1,0,1,1,0,0,17,0,7.48156,5
31,48,0,1,0,1,1,0,0,17,0,7.6009,6
32,46,0,1,0,1,1,0,0,17,0,7.64969,7
18,46,0,0,0,1,0,1,1,11,1,5.97635,1
19,39,0,0,0,1,0,1,1,11,1,6.04025,2
20,44,0,0,0,1,0,1,1,11,1,6.04025,3
21,49,1,0,0,1,0,1,1,11,1,6.04025,4
22,48,0,0,0,1,0,1,1,11,1,6.1203,5
23,47,1,0,0,1,0,1,1,11,1,6.2186,6
24,43,1,0,0,1,0,1,1,11,1,6.1717,7
24,50,0,0,0,1,0,1,1,17,0,6.78559,1
25,51,0,0,0,1,0,1,0,17,0,6.88857,2
26,51,0,0,0,1,0,1,0,17,0,6.88755,3
27,50,0,0,0,1,0,1,0,17,0,6.96885,4
28,22,0,0,0,1,0,1,0,17,0,6.85646,5
29,41,0,0,0,1,0,1,0,17,0,6.73815,6
30,26,0,0,0,1,0,1,0,17,0,7.1309,7
7,50,1,0,1,0,1,0,0,16,0,6.58064,1
8,50,1,1,1,0,1,0,0,16,0,6.83518,2
9,50,1,1,1,0,1,0,0,16,0,6.91274,3
10,50,1,1,1,0,1,0,0,16,0,6.95845,4
11,49,1,1,1,0,1,0,0,16,0,6.9256,5
12,49,1,1,1,0,1,0,0,16,0,7.23778,6
13,49,1,1,1,0,1,0,0,16,0,7.2724,7
11,50,0,0,0,0,1,0,0,17,0,6.90575,1
12,49,0,0,0,0,1,0,0,17,0,6.90575,2
13,50,0,0,0,0,1,0,0,17,0,7.49554,3
14,49,0,0,0,0,1,0,0,17,0,7.54961,4
15,49,0,0,0,0,1,0,0,17,0,7.52564,5
16,48,0,0,0,0,1,0,0,17,0,7.72886,6
17,50,0,0,0,0,1,0,0,17,0,7.36645,7
34,44,1,1,0,1,1,0,0,12,0,6.35611,1
35,46,1,1,0,1,1,0,0,12,0,6.42162,2
36,49,1,1,0,1,1,0,0,12,0,6.47697,3
37,48,1,1,0,1,1,0,0,12,0,6.53669,4
38,45,1,1,0,1,1,0,0,12,0,6.55108,5
39,47,1,1,0,1,1,0,0,12,0,6.68461,6
40,50,1,1,0,1,1,0,0,12,0,6.80239,7
30,46,1,1,0,1,1,0,1,8,0,6.55536,1
31,44,1,1,0,1,1,0,1,8,0,6.62274,2
32,45,1,1,0,1,1,0,1,8,0,6.72263,3
33,46,1,1,0,1,1,0,1,8,0,6.77992,4
34,36,1,1,0,1,1,0,1,8,0,6.93828,5
35,45,1,1,0,1,1,0,1,8,0,7.03439,6
36,45,1,1,0,1,1,0,1,8,0,7.04578,7
20,49,1,1,1,0,1,0,0,8,0,6.3081,1
21,49,1,1,1,0,1,0,0,8,0,6.39693,2
22,47,1,1,1,0,1,0,0,8,0,6.51767,3
23,49,1,1,1,0,1,0,0,8,0,6.6107,4
24,47,1,1,1,0,1,0,0,8,0,6.68711,5
25,44,1,1,1,0,1,0,0,8,0,6.77079,6
26,48,1,1,1,0,1,0,0,8,0,6.85646,7
28,50,1,0,1,0,1,0,0,12,0,5.96615,1
29,50,1,0,1,0,1,0,0,12,0,6.02828,2
30,49,1,0,1,0,1,0,0,12,0,6.15273,3
31,50,1,0,1,0,1,0,0,12,0,6.21461,4
32,50,1,0,1,0,1,0,0,12,0,6.30992,5
33,50,1,0,1,0,1,0,0,12,0,6.44572,6
34,49,1,0,1,0,1,0,0,12,0,6.47697,7
34,40,1,1,0,1,1,0,1,12,0,6.45834,1
35,47,1,1,0,1,1,0,1,12,0,6.50728,2
36,42,1,1,0,1,1,0,1,12,0,6.56808,3
37,45,1,1,0,1,1,0,1,12,0,6.66823,4
38,47,1,1,0,1,1,0,1,12,0,6.75577,5
39,47,1,1,0,1,1,0,1,12,0,6.80239,6
40,46,1,1,0,1,1,0,1,12,0,6.95655,7
27,49,1,1,0,1,1,0,0,13,0,6.40523,1
28,46,1,1,0,1,1,0,0,13,0,6.55678,2
29,47,1,1,0,1,1,0,0,13,0,6.62007,3
